name,CI_2.5,CI_0.5,CI_97.5,taxon
B0,-0.1,0.4,1,Brachycarcharias
B1,-36.6,-35.4,-34.2,Brachycarcharias
d18Oenv,-3,-0.3,2.8,Brachycarcharias
d18Ofw,-15.6,-9.3,-4.5,Brachycarcharias
salinity,19.6,33,45.9,Brachycarcharias
sigma_env,1,1.6,3,Brachycarcharias
sigma_reg,0.6,0.7,1,Brachycarcharias
temperature,6.2,16.5,29.1,Brachycarcharias
