name,CI_2.5,CI_0.5,CI_97.5,taxon
B0,-0.1,0.4,0.9,arctic sharks
B1,-36.5,-35.4,-34.3,arctic sharks
d18Oenv,-14,-13.1,-12.1,arctic sharks
d18Ofw,-20.3,-18.8,-17.5,arctic sharks
salinity,7.9,10.5,13.2,arctic sharks
sigma_env,0.9,1.2,1.8,arctic sharks
sigma_reg,0.6,0.7,1,arctic sharks
temperature,8.1,10.4,12.9,arctic sharks
