name,CI_2.5,CI_0.5,CI_97.5,taxon
B0,-0.2,0.4,1,Striatolamia
B1,-36.6,-35.3,-34.1,Striatolamia
d18Oenv,-0.3,0.8,1.7,Striatolamia
d18Ofw,-8,-7.4,-6.9,Striatolamia
salinity,31.3,37.5,41.4,Striatolamia
sigma_env,0.5,0.8,2.4,Striatolamia
sigma_reg,0.6,0.7,0.9,Striatolamia
temperature,12,14,16,Striatolamia
