temperature,salinity,d18Ofw,d18Oenv,sigma_env,B0,B1,sigma_reg,taxon
25.351352646428218,36.531265183776526,-12.217197214515911,1.119797611855887,1.6251364259226637,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
25.351352646428218,36.531265183776526,-9.194277878885611,0.5866385810795567,1.7970207695681573,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
25.351352646428218,36.531265183776526,-9.194277878885611,0.5866385810795567,1.7970207695681573,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
25.351352646428218,36.531265183776526,-9.194277878885611,1.1132063694213148,2.0256673038376714,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
23.375086561184045,36.531265183776526,-11.113364542801044,1.152106855861227,2.0256673038376714,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
23.375086561184045,36.531265183776526,-8.625891235023357,1.0274858327379057,2.0256673038376714,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
23.375086561184045,36.531265183776526,-8.625891235023357,0.1644765123058214,1.8087703094350391,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
23.375086561184045,36.531265183776526,-8.625891235023357,0.1644765123058214,1.8087703094350391,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
23.375086561184045,36.531265183776526,-8.625891235023357,-0.07898348104111008,2.992913344801117,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
23.375086561184045,36.531265183776526,-12.00380380190549,1.0230588135573235,2.992913344801117,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
23.375086561184045,36.531265183776526,-12.00380380190549,0.738749433512897,3.1504642402168845,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
23.375086561184045,31.0022156956926,-12.00380380190549,0.36882126654232295,3.1504642402168845,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
23.375086561184045,31.0022156956926,-12.00380380190549,-0.9024544656999449,2.543138900730132,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
23.375086561184045,31.0022156956926,-12.00380380190549,-0.9024544656999449,2.543138900730132,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
23.375086561184045,31.0022156956926,-12.00380380190549,-0.697998900996641,2.728886632686134,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
10.539232569652059,31.0022156956926,-12.00380380190549,-0.8611577540193824,2.87927043348099,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
10.539232569652059,24.810968181736236,-12.00380380190549,-2.826928594558021,2.87927043348099,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
10.539232569652059,24.810968181736236,-12.00380380190549,-2.826928594558021,2.87927043348099,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
10.539232569652059,24.810968181736236,-12.00380380190549,-2.826928594558021,2.87927043348099,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
10.539232569652059,20.95129332834047,-5.792666913710742,-2.3939538971850127,2.0371394598807537,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
10.539232569652059,20.95129332834047,-5.792666913710742,-2.3939538971850127,2.0371394598807537,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
10.539232569652059,20.95129332834047,-5.3075366132065325,-2.26355577687438,2.0371394598807537,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
10.539232569652059,20.95129332834047,-6.416379628229699,-2.7038891931476985,2.0371394598807537,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
10.539232569652059,20.95129332834047,-5.915326680276713,-2.3823394601398244,2.0371394598807537,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
10.539232569652059,20.95129332834047,-5.915326680276713,-2.164575821016836,1.9906290296317715,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
10.539232569652059,20.677404004429537,-5.915326680276713,-2.1833157330420625,1.9906290296317715,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
10.539232569652059,20.677404004429537,-5.915326680276713,-2.1833157330420625,1.9906290296317715,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
11.500927408856823,20.677404004429537,-5.915326680276713,-1.7980522497481095,1.9906290296317715,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
11.500927408856823,20.677404004429537,-5.915326680276713,-1.9713362620536437,1.8435330790154052,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
11.500927408856823,20.677404004429537,-5.915326680276713,-1.9713362620536437,1.8435330790154052,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
11.500927408856823,20.677404004429537,-5.915326680276713,-1.9713362620536437,1.8435330790154052,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
11.500927408856823,24.22502029215952,-5.915326680276713,-1.598408450394463,2.141291215052521,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
11.500927408856823,24.22502029215952,-5.915326680276713,-2.1819322955487808,1.633586459470489,0.6156418606246061,-35.75408229805255,0.7015611105223982,Carcharias sp
