name,CI_2.5,CI_0.5,CI_97.5,taxon
B0,-0.2,0.4,0.9,Carcharias sp
B1,-36.5,-35.4,-34.3,Carcharias sp
d18Oenv,-3.3,-0.6,2.5,Carcharias sp
d18Ofw,-15.6,-9.5,-4.6,Carcharias sp
salinity,19.7,32.1,44.2,Carcharias sp
sigma_env,1.5,2.1,3.2,Carcharias sp
sigma_reg,0.6,0.7,1,Carcharias sp
temperature,6.4,17.4,29.3,Carcharias sp
