"month","lon","lat","Temp","d18O_sw"
1,-42.4345670649484,-79.7910280803442,14.15114402771,-1.26107573509216
1,-40.95781051495,-79.7109945608872,14.2737112045288,-1.26190721988678
1,-42.9930734117856,-79.4484014767412,14.3315467834473,-1.2556791305542
1,-41.528819115273,-79.3696046995707,14.6943492889404,-1.25212550163269
1,-40.0772487558816,-79.2883095137586,15.0004100799561,-1.25095844268799
1,-42.0726889380238,-79.0203919624517,15.2233743667603,-1.23794758319855
1,-40.6325632482497,-78.9403158866065,15.4258556365967,-1.24146604537964
1,-37.7881809658874,-78.7729450046518,15.872594833374,-1.22905170917511
1,-36.3840163198602,-78.6857692002813,15.8898448944092,-1.22952222824097
1,-44.0308880925454,-78.7396962583495,15.7347860336304,-1.22677981853485
1,-42.5909376713842,-78.6632824171044,15.7787952423096,-1.23032522201538
1,-41.1620658227572,-78.5843978422246,15.8960447311401,-1.23020732402802
1,-39.7443656172239,-78.5030992676562,16.0011348724365,-1.22778499126434
1,-38.3379060863706,-78.4194437507629,15.9443407058716,-1.22645878791809
1,-36.9427332573676,-78.3334885624675,15.9317960739136,-1.22635614871979
1,-35.5588712327092,-78.2452910848488,15.9505014419556,-1.22748410701752
1,-53.2912588232222,-78.7705261955569,15.5994129180908,-1.20489096641541
1,-51.8043477291519,-78.711097009526,15.667197227478,-1.20475780963898
1,-50.326691635209,-78.6489014903375,15.697774887085,-1.20301651954651
1,-48.8585373860247,-78.5839891212905,15.7300539016724,-1.20294189453125
1,-47.4001060416463,-78.5164105274338,15.791374206543,-1.20552945137024
1,-45.951593229972,-78.4462173397343,15.8439998626709,-1.2106831073761
1,-44.5131696141491,-78.3734620633694,15.8184518814087,-1.21727991104126
1,-43.0849814633638,-78.2981979507455,15.858624458313,-1.22020626068115
1,-41.6671513152697,-78.2204788797618,15.9074459075928,-1.21972727775574
1,-40.2597787183201,-78.1403592377504,15.9491443634033,-1.21807956695557
1,-38.8629410424289,-78.0578938114379,15.9321203231812,-1.21664822101593
1,-37.4766943466944,-77.9731376831988,15.9237661361694,-1.21791207790375
1,-36.1010742933818,-77.8861461337893,15.9273128509521,-1.2177666425705
1,-55.1476938864139,-78.4456762464863,15.4773874282837,-1.1995267868042
1,-53.6679366682572,-78.3900014021232,15.5330295562744,-1.19886326789856
1,-52.1965180225188,-78.3315456294802,15.6369066238403,-1.19742822647095
1,-50.7336996481296,-78.2703546922672,15.7029228210449,-1.19630885124207
1,-49.2797198149942,-78.2064756337884,15.7484521865845,-1.1954619884491
1,-47.8347935004217,-78.1399566496185,15.7734460830688,-1.19612884521484
1,-46.3991126380012,-78.070846962964,15.7927236557007,-1.19993829727173
1,-44.9728464698945,-77.9991967033451,15.8162422180176,-1.20422470569611
1,-43.5561419931053,-77.9250567891614,15.8703212738037,-1.20633602142334
1,-42.1491244900479,-77.8484788146318,15.8793478012085,-1.20425641536713
1,-40.75189813366,-77.7695149415247,15.898419380188,-1.20322370529175
1,-39.3645466573503,-77.6882177960235,15.9058589935303,-1.20455944538116
1,-37.9871340802451,-77.6046403710031,15.9090490341187,-1.20628464221954
1,-36.6197054785056,-77.5188359339291,15.9123754501343,-1.20613133907318
1,-35.2622877938354,-77.430857940523,15.9350814819336,-1.20425426959991
1,-55.4902740136761,-78.0562775010641,15.4947929382324,-1.19849503040314
1,-54.0260141087495,-78.0015154708736,15.5700101852417,-1.19415521621704
1,-52.5695008427443,-77.9440060893308,15.6572790145874,-1.18929779529572
1,-51.1209846535258,-77.8837928509748,15.7188158035278,-1.18502604961395
1,-49.6806948615898,-77.8209205233192,15.757152557373,-1.18369138240814
1,-48.2488397362129,-77.7554350304411,15.7905359268188,-1.18458330631256
1,-46.8256066616254,-77.6873833386391,15.8218116760254,-1.18610501289368
1,-45.4111623959315,-77.616813344743,15.8453807830811,-1.18671214580536
1,-44.0056534150908,-77.5437737675957,15.8579072952271,-1.18460369110107
1,-42.6092063340049,-77.4683140431667,15.8772058486938,-1.18267142772675
1,-41.2219283966177,-77.390484223695,15.8804512023926,-1.1843535900116
1,-39.8439080269027,-77.3103348811999,15.9035511016846,-1.18838322162628
1,-38.4752154326869,-77.2279170156334,15.9106798171997,-1.19168293476105
1,-37.1159032544555,-77.1432819678972,15.9204072952271,-1.19305825233459
1,-35.766007251508,-77.0564813378872,15.9585838317871,-1.19263827800751
1,-58.735295748113,-77.7582899496463,15.3267087936401,-1.23234713077545
1,-57.2723074449892,-77.7099619953038,15.3140773773193,-1.21934473514557
1,-55.8159856191653,-77.6588416649489,15.3674192428589,-1.20155155658722
1,-54.3666072230333,-77.6049674930872,15.5651187896729,-1.18973827362061
1,-52.9244304259779,-77.5483794916254,15.6980295181274,-1.18287444114685
1,-51.4896944329637,-77.4891190420737,15.7384386062622,-1.17482995986938
1,-50.0626194020213,-77.4272287881134,15.7662515640259,-1.17135488986969
1,-48.6434064559087,-77.3627525291517,15.790675163269,-1.17139399051666
1,-47.232237782602,-77.2957351154392,15.8329849243164,-1.17113125324249
1,-45.8292768187633,-77.2262223452812,15.8771715164185,-1.16771697998047
1,-44.4346685099423,-77.1542608648213,15.9142627716064,-1.16356813907623
1,-43.0485396409775,-77.079898070826,15.9356641769409,-1.16081416606903
1,-41.6709992299003,-77.0031820168469,15.9313907623291,-1.16278457641602
1,-40.3021389785532,-76.9241613230834,15.9375972747803,-1.16929161548615
1,-38.9420337731414,-76.8428850902205,15.9440584182739,-1.17443323135376
1,-37.5907422280512,-76.7594028174632,15.9559421539307,-1.17727327346802
1,-36.2483072663984,-76.6737643249439,15.9692354202271,-1.17771768569946
1,-59.0151164678035,-77.351090837196,15.4041042327881,-1.23180103302002
1,-57.5673804824671,-77.3035549967446,15.4546737670898,-1.22587788105011
1,-56.1258364506332,-77.2532640875368,15.5546207427979,-1.21663379669189
1,-54.6907464321509,-77.2002547319155,15.6566114425659,-1.20419728755951
1,-53.2623556081366,-77.1445649962879,15.7753267288208,-1.18696010112762
1,-51.8408920811298,-77.0862342930742,15.7598295211792,-1.16933166980743
1,-50.4265667619543,-77.0253032827281,15.7742147445679,-1.16006207466125
1,-49.0195733396064,-76.9618137763869,15.8139390945435,-1.15650975704193
1,-47.6200883299338,-76.8958086396685,15.8619871139526,-1.15270781517029
1,-46.2282711984124,-76.8273316980988,15.9107780456543,-1.14732587337494
1,-44.8442645519518,-76.7564276446065,15.9377269744873,-1.14201819896698
1,-43.4681943943781,-76.6831419494842,15.9632511138916,-1.13969540596008
1,-42.1001704400584,-76.6075207731672,15.9630031585693,-1.14222192764282
1,-40.7402864800069,-76.5296108821398,15.9816808700562,-1.1490136384964
1,-39.3886207947755,-76.4494595682332,15.9775552749634,-1.15525829792023
1,-38.0452366084809,-76.3671145715362,15.9870347976685,-1.15934216976166
1,-36.7101825783878,-76.2826240071012,15.9830436706543,-1.16189193725586
1,-35.3834933146405,-76.1960362955817,15.9838256835938,-1.16772675514221
1,-59.2812631167102,-76.9356854233383,15.5655908584595,-1.22821664810181
1,-57.8481324271817,-76.8889210242238,15.582347869873,-1.21874022483826
1,-56.4207569504356,-76.8394385113663,15.6352005004883,-1.20743250846863
1,-54.9993844713024,-76.7872727302468,15.7092332839966,-1.1988765001297
1,-53.5842475918636,-76.7324599362506,15.8111295700073,-1.18833196163177
1,-52.1755635205957,-76.6750377054278,15.8753805160522,-1.17138075828552
1,-50.7735339375334,-76.6150448450977,15.9056844711304,-1.15425229072571
1,-49.3783449326019,-76.5525213047954,15.9361906051636,-1.14420592784882
1,-47.9901670137725,-76.487508088026,15.9469594955444,-1.13649809360504
1,-46.6091551812856,-76.4200471652638,15.9738245010376,-1.12765276432037
1,-45.2354490638376,-76.3501813885964,15.9804496765137,-1.12074947357178
1,-43.8691731123499,-76.2779544083806,16.0018501281738,-1.12028563022614
1,-42.5104368467587,-76.2034105922389,16.0022754669189,-1.12397956848145
1,-41.1593351511112,-76.1265949466875,16.0049171447754,-1.13052296638489
1,-39.8159486121903,-76.0475530416509,16.0014839172363,-1.13543975353241
1,-38.4803438968962,-75.966330938078,15.9925270080566,-1.14095258712769
1,-37.1525741636323,-75.8829751188429,15.9821605682373,-1.14736568927765
1,-35.8326795030517,-75.797532423073,15.969747543335,-1.15499019622803
1,-59.5345417181161,-76.511963087256,15.8268260955811,-1.22868430614471
1,-58.1153980480989,-76.46595112777,15.8346109390259,-1.21792948246002
1,-56.701607146975,-76.4172576746011,15.9745321273804,-1.21012234687805
1,-55.2934031532937,-76.3659159204388,15.9462184906006,-1.2005752325058
1,-53.8910065349378,-76.3119604333084,15.9165830612183,-1.19449949264526
1,-52.494623872959,-76.2554270753014,15.9445247650146,-1.18356251716614
1,-51.1044477120757,-76.1963529209754,15.9330720901489,-1.16275501251221
1,-49.7206564756382,-76.134776175866,15.9533081054688,-1.13754642009735
1,-48.3434144424299,-76.0707360955309,15.9407911300659,-1.12196493148804
1,-46.9728717823072,-76.0042729055196,15.998025894165,-1.11342585086823
1,-45.6091646473597,-75.9354277226344,16.0140342712402,-1.10639941692352
1,-44.2524153150179,-75.8642424778188,16.0124034881592,-1.10593497753143
1,-42.9027323793456,-75.7907598409786,16.0017871856689,-1.11004018783569
1,-41.5602109866052,-75.7150231480087,15.9988374710083,-1.11525285243988
1,-40.2249331110927,-75.637076330267,15.9878444671631,-1.11969077587128
1,-38.8969678672199,-75.5569638467043,15.9695377349854,-1.12505257129669
1,-37.5763718538042,-75.4747306188299,15.9639835357666,-1.13273441791534
1,-36.2631895265924,-75.3904219686572,15.9513635635376,-1.14164006710052
1,-59.7756965656579,-76.0798126963815,16.270751953125,-1.24061048030853
1,-58.3699490692133,-76.0345357402923,16.0332794189453,-1.22221839427948
1,-56.9691830753559,-75.9866135955676,16.0012130737305,-1.20633947849274
1,-55.5736197062108,-75.9360779159614,15.9065847396851,-1.19022488594055
1,-54.1834677628187,-75.8829616959166,15.8774881362915,-1.18328297138214
1,-52.7989235080054,-75.8272991965077,15.941219329834,-1.17350316047668
1,-51.4201705077253,-75.76912587092,15.9465999603271,-1.15179753303528
1,-50.0473795292034,-75.7084782898607,16.0170402526855,-1.13376367092133
1,-48.6807084938132,-75.6453940672761,15.9926834106445,-1.1182324886322
1,-47.3203024823094,-75.579911786734,16.0169925689697,-1.10612797737122
1,-45.9662937897378,-75.5120709287994,15.9959936141968,-1.09816384315491
1,-44.6188020271113,-75.4419117997151,15.9969749450684,-1.0956335067749
1,-43.2779342667596,-75.3694754616659,15.9829015731812,-1.09794473648071
1,-41.9437852281072,-75.2948036648829,15.9847249984741,-1.1022754907608
1,-40.6164375005336,-75.2179387818144,15.9745225906372,-1.1069347858429
1,-39.2959617999308,-75.138923743565,15.962718963623,-1.11279380321503
1,-37.9824172555314,-75.0578019787739,15.9511528015137,-1.11954534053802
1,-36.6758517236156,-74.974617355081,15.9391746520996,-1.12819719314575
1,-35.3763021247521,-74.8894141232994,15.9280433654785,-1.13794946670532
1,-60.0054159757298,-75.6391228617454,16.1797885894775,-1.22242724895477
1,-58.612499947551,-75.5945649409451,16.1114368438721,-1.21617770195007
1,-57.224222538254,-75.5473978435165,16.0853691101074,-1.19981932640076
1,-55.8407924769102,-75.4976517888365,16.0381851196289,-1.18665158748627
1,-54.4624073773697,-75.4453583025067,16.0227279663086,-1.17971277236938
1,-53.0892535234299,-75.3905501488254,16.0313053131104,-1.17031252384186
1,-51.7215057053177,-75.3332612626983,16.0001583099365,-1.15798258781433
1,-50.3593271062153,-75.2735266813383,16.0511512756348,-1.14723217487335
1,-49.0028692372255,-75.2113824760924,15.9868812561035,-1.12655436992645
1,-47.6522719188884,-75.1468656847161,16.0103702545166,-1.10531651973724
1,-46.3076633070995,-75.0800142443967,16.0125026702881,-1.09456813335419
1,-44.969159961058,-75.0108669258057,16.0362434387207,-1.09075927734375
1,-43.6368669507114,-74.9394632684406,15.995078086853,-1.09073722362518
1,-42.3108780010077,-74.865843517492,15.9835042953491,-1.0944846868515
1,-40.9912756701625,-74.7900485624483,15.9750270843506,-1.09891772270203
1,-39.6781315590986,-74.7121198776302,15.9641227722168,-1.10399341583252
1,-38.3715065491573,-74.632099464819,15.949122428894,-1.10974109172821
1,-37.0714510651896,-74.5500297981235,15.9333200454712,-1.11778938770294
1,-35.7780053611624,-74.4659537712056,15.9202871322632,-1.12670207023621
1,-60.2243372854292,-75.1897824824069,16.098237991333,-1.21979737281799
1,-58.8437128987925,-75.1459290062695,16.0883293151855,-1.21144640445709
1,-57.4674101220423,-75.0995020959301,16.0699157714844,-1.19232416152954
1,-56.0956259024438,-75.0505306324777,15.9847078323364,-1.17664313316345
1,-54.7285471506695,-74.9990447691475,15.9841222763062,-1.16782736778259
1,-53.3663505306853,-74.9450758697082,15.9829349517822,-1.15636074542999
1,-52.0092022946866,-74.8886564462158,15.9617929458618,-1.14537954330444
1,-50.6572581621338,-74.8298200964478,15.9812097549438,-1.13063776493073
1,-49.3106632416487,-74.7686014413202,16.0030345916748,-1.1074960231781
1,-47.9695519942852,-74.7050360625746,16.0313377380371,-1.0951554775238
1,-46.6340482364453,-74.6391604410106,16.0013618469238,-1.08908152580261
1,-45.3042651805227,-74.571011895516,16.0112972259521,-1.08763778209686
1,-43.9803055111966,-74.5006285231358,15.9924268722534,-1.08865749835968
1,-42.6622614951529,-74.4280491403966,15.9779472351074,-1.09148764610291
1,-41.3502151219067,-74.3533132260855,15.972020149231,-1.09519791603088
1,-40.0442382733448,-74.2764608656637,15.9526414871216,-1.10019481182098
1,-38.744392919532,-74.1975326974714,15.9356393814087,-1.10616838932037
1,-37.4507313383281,-74.1165698608642,15.9143896102905,-1.11298847198486
1,-36.1632963563596,-74.0336139463997,15.8912992477417,-1.12116074562073
1,-60.4330514646425,-74.731681054713,15.9049854278564,-1.20938730239868
1,-59.0642025524337,-74.6885187259851,16.0389213562012,-1.2023344039917
1,-57.6993818622518,-74.6428184604121,16.0940017700195,-1.18123078346252
