"lon","lat","d18Of","month"
-77.5,-71.0526315789474,-9.29688930511475,1
-75,-71.0526315789474,-9.8445520401001,1
-72.5,-71.0526315789474,-10.556396484375,1
-70,-71.0526315789474,-11.0090751647949,1
-67.5,-71.0526315789474,-10.9147109985352,1
-65,-71.0526315789474,-10.1372623443604,1
-62.5,-71.0526315789474,-8.70376491546631,1
-60,-71.0526315789474,-6.94550228118896,1
-57.5,-71.0526315789474,-6.55461835861206,1
-55,-71.0526315789474,-6.23518753051758,1
-52.5,-71.0526315789474,-6.1581974029541,1
-50,-71.0526315789474,-6.17401170730591,1
-47.5,-71.0526315789474,-6.2393946647644,1
-45,-71.0526315789474,-6.3454008102417,1
-42.5,-71.0526315789474,-6.50112867355347,1
-40,-71.0526315789474,-6.64939308166504,1
-37.5,-71.0526315789474,-6.73148012161255,1
-35,-71.0526315789474,-7.08637571334839,1
-90,-69.1578947368421,-8.3513069152832,1
-87.5,-69.1578947368421,-8.30496501922607,1
-85,-69.1578947368421,-8.242844581604,1
-82.5,-69.1578947368421,-8.37056541442871,1
-80,-69.1578947368421,-8.58259296417236,1
-77.5,-69.1578947368421,-8.83816623687744,1
-75,-69.1578947368421,-8.99270915985107,1
-72.5,-69.1578947368421,-9.68929386138916,1
-70,-69.1578947368421,-10.3100452423096,1
-67.5,-69.1578947368421,-10.2453536987305,1
-65,-69.1578947368421,-9.75481033325195,1
-62.5,-69.1578947368421,-8.27089023590088,1
-60,-69.1578947368421,-7.01729536056519,1
-57.5,-69.1578947368421,-6.71764278411865,1
-55,-69.1578947368421,-6.49324607849121,1
-52.5,-69.1578947368421,-6.3526349067688,1
-50,-69.1578947368421,-6.45737075805664,1
-47.5,-69.1578947368421,-6.53273439407349,1
-45,-69.1578947368421,-6.58804798126221,1
-42.5,-69.1578947368421,-6.78349876403809,1
-40,-69.1578947368421,-6.8790135383606,1
-37.5,-69.1578947368421,-6.97125244140625,1
-35,-69.1578947368421,-7.20205450057983,1
-90,-67.2631578947368,-8.63222312927246,1
-87.5,-67.2631578947368,-8.53695106506348,1
-85,-67.2631578947368,-8.57717227935791,1
-82.5,-67.2631578947368,-8.62353420257568,1
-80,-67.2631578947368,-8.70730209350586,1
-77.5,-67.2631578947368,-8.85656452178955,1
-75,-67.2631578947368,-8.95176315307617,1
-72.5,-67.2631578947368,-8.97316265106201,1
-70,-67.2631578947368,-9.5875768661499,1
-67.5,-67.2631578947368,-9.64847183227539,1
-65,-67.2631578947368,-9.43256855010986,1
-62.5,-67.2631578947368,-8.35049819946289,1
-60,-67.2631578947368,-7.57986450195312,1
-57.5,-67.2631578947368,-7.18963003158569,1
-55,-67.2631578947368,-7.06981372833252,1
-52.5,-67.2631578947368,-6.91490793228149,1
-50,-67.2631578947368,-6.84624004364014,1
-47.5,-67.2631578947368,-7.0738959312439,1
-45,-67.2631578947368,-7.12387943267822,1
-42.5,-67.2631578947368,-7.28085899353027,1
-40,-67.2631578947368,-7.21727657318115,1
-37.5,-67.2631578947368,-7.12982368469238,1
-35,-67.2631578947368,-7.12850713729858,1
-90,-65.3684210526316,-9.10036373138428,1
-87.5,-65.3684210526316,-9.03300857543945,1
-85,-65.3684210526316,-8.93669986724854,1
-82.5,-65.3684210526316,-8.82852268218994,1
-80,-65.3684210526316,-8.88443183898926,1
-77.5,-65.3684210526316,-8.83903884887695,1
-75,-65.3684210526316,-8.72252082824707,1
-72.5,-65.3684210526316,-8.66673469543457,1
-70,-65.3684210526316,-8.74684047698975,1
-67.5,-65.3684210526316,-8.7792272567749,1
-65,-65.3684210526316,-9.14210605621338,1
-62.5,-65.3684210526316,-8.87481212615967,1
-60,-65.3684210526316,-8.38084983825684,1
-57.5,-65.3684210526316,-8.21443939208984,1
-55,-65.3684210526316,-7.93753480911255,1
-52.5,-65.3684210526316,-7.69197082519531,1
-50,-65.3684210526316,-7.42552137374878,1
-47.5,-65.3684210526316,-7.36157703399658,1
-45,-65.3684210526316,-7.59066724777222,1
-42.5,-65.3684210526316,-7.64076519012451,1
-40,-65.3684210526316,-7.59131956100464,1
-37.5,-65.3684210526316,-7.36459493637085,1
-35,-65.3684210526316,-7.22658681869507,1
-90,-63.4736842105263,-9.20330238342285,1
-87.5,-63.4736842105263,-9.15454006195068,1
-85,-63.4736842105263,-9.15962028503418,1
-82.5,-63.4736842105263,-9.10919666290283,1
-80,-63.4736842105263,-9.07235336303711,1
-77.5,-63.4736842105263,-8.86082553863525,1
-75,-63.4736842105263,-8.64217853546143,1
-72.5,-63.4736842105263,-8.58597469329834,1
-70,-63.4736842105263,-8.5802001953125,1
-67.5,-63.4736842105263,-8.66579341888428,1
-65,-63.4736842105263,-8.87666893005371,1
-62.5,-63.4736842105263,-9.20857810974121,1
-60,-63.4736842105263,-9.94291591644287,1
-57.5,-63.4736842105263,-9.21874332427979,1
-55,-63.4736842105263,-8.62099838256836,1
-52.5,-63.4736842105263,-8.27070045471191,1
-50,-63.4736842105263,-8.07456874847412,1
-47.5,-63.4736842105263,-7.94918155670166,1
-45,-63.4736842105263,-8.05255889892578,1
-42.5,-63.4736842105263,-8.11218070983887,1
-40,-63.4736842105263,-8.09865665435791,1
-37.5,-63.4736842105263,-7.87913942337036,1
-35,-63.4736842105263,-7.76338052749634,1
-90,-61.5789473684211,-9.49983978271484,1
-87.5,-61.5789473684211,-9.4187126159668,1
-85,-61.5789473684211,-9.34099006652832,1
-82.5,-61.5789473684211,-9.19242763519287,1
-80,-61.5789473684211,-9.06832790374756,1
-77.5,-61.5789473684211,-8.91464805603027,1
-75,-61.5789473684211,-8.75636386871338,1
-72.5,-61.5789473684211,-8.55594825744629,1
-70,-61.5789473684211,-8.5035285949707,1
-67.5,-61.5789473684211,-8.63200664520264,1
-65,-61.5789473684211,-8.72881698608398,1
-62.5,-61.5789473684211,-9.01803493499756,1
