ID	d18O
2004-132	10.1
2004-133	9.4
2004-134	10.3
2004-151	9.2
2004-152	9.4
2004-153	10.0
2004-154	11.6
2004-156	9.5
2004-157	10.2
2004-158	9.7
2004-15E	11.7
2004-31e	9.4
2004-31f	9.2
sharktic1	10.6
sharktic2	11.5
sharktic3	11.5
sharktic4	12.5
sharktic5	12.7
sharktic6	11.4
sharktic7	12.3
sharktice	11.8
sharkticf	11.1
