Sample_ID,d18Op
PRI68685_ tooth 21,22.3
PRI68687_tooth 32,22.9
PRI68688_ tooth 38,22.3
PRI68689_tooth 47,21.1
PRI68702_tooth 100,21.8
PRI68702_tooth 98,21.5
PRI68692_tooth 2,21.1
PRI68692_tooth 3,21.7
PRI68694_tooth 2,22
UCMP 192788,20.5
UCMP 192849,22
UCMP 192859,21.3
UCMP 192872,21.5
UCMP 192874,22.3
UCMP 192876,20.8
UCMP 192875,19.6
UCMP 192852,21
UCMP 192873,22.4
