Sample_ID,d18Op
NRM-PZ P15872,22.4
NRM-PZ P19669,22.7
NRM-PZ P19670,23.1
NRM-PZ P19671,22.3
NRM-PZ P19673,22.6
NRM-PZ P19676,16.9
NRM-PZ P19677,23
NRM-PZ P19660,22.7
NRM-PZ P19661,18.7
NRM-PZ P19663,23.7
NRM-PZ P19683,20.1
NRM-PZ P19684,22.2
NRM-PZ P19685,22
NRM-PZ P19686,22.1
NRM-PZ P19688,22
NRM-PZ P19679,16.7
NRM-PZ P19680,21.4
NRM-PZ P15905,21.8
NRM-PZ P19689,23.3
NRM-PZ P19690,22.9
