Sample_ID,d18Op
NRM-PZ P15774,22.4
NRM-PZ P15846,23
NRM-PZ P15847,22.9
NRM-PZ P15849,23.7
NRM-PZ P15928,22.8
NRM-PZ P15886,22.4
NRM-PZ P15926,23
NRM-PZ P15775,22.6
NRM-PZ P15778,18.4
NRM-PZ P15798,21.3
NRM-PZ P15845,21.2
NRM-PZ P15873,23
NRM-PZ P15874,20.3
